,occupancy,j_k,j_w,flip_0,flip_1,flip_2,flip_3,flip_4,flip_5
0,WKK0KC,0,0,4,0,0,0,0,0
1,WKK0KC,0,0,4,0,0,0,0,0
2,WKK0KC,0,0,4,0,0,0,0,0
3,WKK0KW,-1,0,4,0,0,0,0,0
4,WK0KKC,1,0,4,0,0,0,0,0
5,WKK0KC,0,0,4,0,0,0,0,0
6,WKK0KC,0,0,4,0,0,0,0,0
7,0KK0KC,0,0,4,0,0,0,0,0
8,WKK0KC,0,0,4,0,0,0,0,0
9,WKK0KC,0,0,4,0,0,0,0,0
10,WKK0KC,0,0,4,0,0,0,0,0
11,WKK0KC,0,0,4,0,0,0,0,0
12,WKK0KW,0,0,4,0,0,0,0,0
13,CKK0KW,0,0,4,0,0,0,0,0
14,KKK0KW,-2,0,4,0,0,0,0,0
15,C0KKKC,2,0,4,0,0,0,0,0
16,WKK0KC,0,0,4,0,0,0,0,1
17,WKK0KC,0,0,4,0,0,0,0,0
18,WKK0KC,0,0,4,0,0,0,0,0
19,WKK0KW,-1,0,4,0,0,0,0,0
20,WK0KKC,0,0,4,0,0,0,0,0
21,KK0KKC,-1,0,4,0,0,0,0,0
22,K0KKKW,2,0,4,0,0,0,0,0
23,CKK0KC,-2,0,4,0,0,0,0,0
24,C0KKKW,0,0,4,0,0,0,0,0
25,C0KKKW,-1,0,4,0,0,0,0,0
26,WKKKKW,0,0,4,0,0,0,0,0
27,WKKKKW,2,0,4,0,0,0,0,0
28,KK0KKW,0,0,4,0,0,0,0,0
29,KK0KKC,0,0,4,0,0,0,0,0
30,CK0KKC,0,0,4,0,0,0,0,0
31,CK0KKC,0,0,4,0,0,0,0,0
32,KK0KKC,1,0,4,0,0,0,0,0
33,KKK0KW,-3,0,4,0,0,0,0,0
34,WKKKKW,0,0,4,0,0,0,0,0
35,WKKKKW,0,0,4,0,0,0,0,0
36,WKKKKW,1,0,4,0,0,0,0,0
37,C0KKKW,1,0,4,0,0,0,0,0
38,CK0KKW,1,0,4,0,0,0,0,0
39,CKK0KW,-2,0,4,0,0,0,0,0
40,K0KKKW,-1,0,4,0,0,0,0,0
41,WKKKKW,1,0,4,0,0,0,0,0
42,C0KKKW,0,0,4,0,0,0,0,0
43,K0KKKW,2,0,4,0,0,0,0,0
44,WKK0KW,-1,0,4,0,0,0,0,0
45,KK0KKW,0,0,4,0,0,0,0,0
46,KK0KKW,-2,0,4,0,0,0,0,0
47,WKKKKW,0,0,4,0,0,0,0,0
48,WKKKKW,0,0,4,0,0,0,0,0
49,0KKKKW,1,0,4,0,0,0,0,0
50,K0KKKW,1,0,4,0,0,0,0,0
51,KK0KKW,1,0,4,0,0,0,0,0
52,KKK0KC,-1,0,4,0,0,2,0,0
