,occupancy,j_k,j_w,flip_0,flip_1,flip_2,flip_3,flip_4,flip_5
0,KK0KKC,0,0,4,0,0,2,0,0
1,KK0KKW,1,0,4,0,0,4,0,0
2,KKK0KW,0,0,4,0,0,0,0,0
3,KKK0KW,-1,0,4,0,0,0,0,0
4,KK0KKW,1,0,4,0,0,0,0,1
5,CKK0KW,0,0,4,0,0,0,0,1
6,CKK0KC,0,0,4,0,0,4,0,0
7,KKK0KC,-1,0,4,0,0,4,0,0
8,KK0KKC,1,0,4,0,0,0,0,0
9,KKK0KC,-3,0,4,0,0,0,0,0
10,WKKKKC,0,0,4,0,0,0,0,0
11,WKKKKW,0,0,4,0,0,0,0,0
12,WKKKKW,0,0,4,0,0,0,0,0
13,WKKKKW,2,0,4,0,0,0,0,0
14,KK0KKC,1,0,4,0,0,0,0,0
15,KKK0KC,-3,0,4,0,0,0,0,0
16,WKKKKW,0,0,4,0,0,0,0,0
17,WKKKKW,0,0,4,0,0,0,0,0
18,WKKKKW,0,0,4,0,0,0,0,0
19,WKKKKW,1,0,4,0,0,0,0,0
20,K0KKKC,0,0,4,0,0,0,0,0
21,K0KKKC,-2,0,4,0,0,0,0,0
22,WKKK0C,1,0,4,0,0,0,0,0
23,WKKKKW,0,0,4,0,0,0,0,0
24,WKKKKW,0,0,4,0,0,0,0,0
25,WKKKKW,0,0,4,0,0,0,0,0
26,WKKKKW,0,0,4,0,0,0,0,0
27,WKKKKW,1,0,4,0,0,0,0,0
28,K0KKKW,1,0,4,0,0,0,0,0
29,CK0KKW,-2,0,4,0,0,0,0,0
30,WKKKKW,0,0,4,0,0,0,0,0
31,WKKKKW,0,0,4,0,0,0,0,0
32,WKKKKW,0,0,4,0,0,0,0,0
33,WKKKKC,0,0,4,0,0,0,0,0
34,WKKKKC,0,0,4,0,0,0,0,0
35,WKKKKC,0,0,4,0,0,0,0,0
36,WKKKKW,0,0,4,0,0,0,0,0
37,WKKKKW,0,0,4,0,0,0,0,0
38,WKKKKW,0,0,4,0,0,0,0,0
39,WKKKKW,2,0,4,0,0,0,0,0
40,KK0KKW,-1,0,4,0,0,0,0,0
41,C0KKKC,-1,0,4,0,0,0,0,0
42,WKKKKC,0,0,4,0,0,0,0,0
43,WKKKKC,0,0,4,0,0,0,0,0
44,WKKKKW,0,0,4,0,0,0,0,0
